path,class,ita,skin_tone_group
datasets\final\test\Acne\train_rosacea-17.jpg,Acne,34.99201965332031,FST III (Medium)
datasets\final\test\Acne\train_rosacea-44.jpg,Acne,28.82784080505371,FST III (Medium)
datasets\final\test\Acne\train_rosacea-52.jpg,Acne,40.08821105957031,FST III (Medium)
datasets\final\test\Acne\train_rosacea-64.jpg,Acne,48.92388916015625,FST I-II (Light)
datasets\final\test\Acne\train_rosacea-65.jpg,Acne,34.811370849609375,FST III (Medium)
datasets\final\test\Acne\train_rosacea-71.jpg,Acne,34.48995590209961,FST III (Medium)
datasets\final\test\Acne\train_rosacea-83.jpg,Acne,36.93876266479492,FST III (Medium)
datasets\final\test\Acne\train_rosacea-nose-44.jpg,Acne,35.882137298583984,FST III (Medium)
datasets\final\test\Acne\train_rosacea-nose-56.jpg,Acne,29.124053955078125,FST III (Medium)
datasets\final\test\Acne\train_rosacea-nose-8.jpg,Acne,29.43541717529297,FST III (Medium)
datasets\final\test\Acne\train_Sebaceous-glands-Areola-2.jpg,Acne,28.249736785888672,FST III (Medium)
datasets\final\test\Acne\valid_acne-077-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,23.1508846282959,FST IV (Olive)
datasets\final\test\Acne\valid_acne-cystic-55.jpeg,Acne,42.52994918823242,FST I-II (Light)
datasets\final\test\Candidiasis\test_1308__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Candidiasis,35.020076751708984,FST III (Medium)
datasets\final\test\Candidiasis\train_1285-small__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Candidiasis,31.027067184448242,FST III (Medium)
datasets\final\test\Candidiasis\train_1298__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Candidiasis,27.51200294494629,FST IV (Olive)
datasets\final\test\Candidiasis\train_1305-small__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Candidiasis,41.33806228637695,FST I-II (Light)
datasets\final\test\Candidiasis\train_candida-penis-16.jpeg,Candidiasis,24.08319664001465,FST IV (Olive)
datasets\final\test\Candidiasis\train_candida-penis-40.jpeg,Candidiasis,28.178590774536133,FST III (Medium)
datasets\final\test\Candidiasis\train_candida-penis-43.jpeg,Candidiasis,10.072478294372559,FST V-VI (Dark)
datasets\final\test\Candidiasis\train_candida-penis-47.jpeg,Candidiasis,34.05326843261719,FST III (Medium)
datasets\final\test\Candidiasis\train_Candida-penis-765.jpeg,Candidiasis,34.068878173828125,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-diaper-1.jpeg,Candidiasis,18.02472496032715,FST V-VI (Dark)
datasets\final\test\Candidiasis\train_candidiasis-diaper-31.jpeg,Candidiasis,14.656750679016113,FST V-VI (Dark)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-106.jpeg,Candidiasis,19.29004669189453,FST IV (Olive)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-108.jpeg,Candidiasis,44.24944305419922,FST I-II (Light)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-127.jpeg,Candidiasis,17.35402488708496,FST V-VI (Dark)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-129.jpeg,Candidiasis,33.42481231689453,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-13.jpeg,Candidiasis,42.84703826904297,FST I-II (Light)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-130.jpeg,Candidiasis,28.300756454467773,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-135.jpeg,Candidiasis,27.957988739013672,FST IV (Olive)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-141.jpeg,Candidiasis,36.55680847167969,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-146.jpeg,Candidiasis,33.690067291259766,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-151.jpeg,Candidiasis,22.01898765563965,FST IV (Olive)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-163.jpeg,Candidiasis,44.59651565551758,FST I-II (Light)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-90.jpeg,Candidiasis,32.08218765258789,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-91.jpeg,Candidiasis,31.21840476989746,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-large-skin-folds-96.jpeg,Candidiasis,28.429048538208008,FST III (Medium)
datasets\final\test\Candidiasis\train_candidiasis-mouth-11.jpeg,Candidiasis,23.886499404907227,FST IV (Olive)
datasets\final\test\Eczema\test_05Atopic010203.jpeg,Eczema,33.690067291259766,FST III (Medium)
datasets\final\test\Eczema\test_05Atopic0712046.jpeg,Eczema,30.379127502441406,FST III (Medium)
datasets\final\test\Eczema\test_05atopicInfection67-GP3.jpeg,Eczema,32.668861389160156,FST III (Medium)
datasets\final\test\Eczema\test_3Eczema3-021.jpeg,Eczema,34.191768646240234,FST III (Medium)
datasets\final\test\Eczema\test_Dyshidrosis-3.jpg,Eczema,35.0683479309082,FST III (Medium)
datasets\final\test\Eczema\test_eczema-fingertips-109.jpeg,Eczema,36.869895935058594,FST III (Medium)
datasets\final\test\Eczema\test_eczema-fingertips-84.jpeg,Eczema,48.16949462890625,FST I-II (Light)
datasets\final\test\Eczema\test_fiberglass-dermatitis-6.jpg,Eczema,12.765565872192383,FST V-VI (Dark)
datasets\final\test\Eczema\test_iododerma-2.jpg,Eczema,33.9704704284668,FST III (Medium)
datasets\final\test\Eczema\test_keratolysis-exfoliativa-48.jpg,Eczema,15.672820091247559,FST V-VI (Dark)
datasets\final\test\Eczema\test_lichen-simplex-chronicus-138.jpg,Eczema,15.255118370056152,FST V-VI (Dark)
datasets\final\test\Eczema\test_lichen-simplex-chronicus-180.jpg,Eczema,10.124671936035156,FST V-VI (Dark)
datasets\final\test\Eczema\test_lichen-simplex-chronicus-93.jpg,Eczema,37.12369918823242,FST III (Medium)
datasets\final\test\Eczema\test_neurotic-excoriations-1.jpg,Eczema,17.84429168701172,FST V-VI (Dark)
datasets\final\test\Eczema\test_neurotic-excoriations-19.jpg,Eczema,39.248600006103516,FST III (Medium)
datasets\final\test\Eczema\test_neurotic-excoriations-22.jpg,Eczema,43.48687744140625,FST I-II (Light)
datasets\final\test\Eczema\test_neurotic-excoriations-28.jpg,Eczema,38.03653335571289,FST III (Medium)
datasets\final\test\Eczema\test_prurigo-nodularis-22.jpg,Eczema,27.77656364440918,FST IV (Olive)
datasets\final\test\Eczema\test_stasis-dermatitis-92.jpg,Eczema,11.689369201660156,FST V-VI (Dark)
datasets\final\test\Eczema\train_chapped-fissured-feet-18.jpg,Eczema,29.23580551147461,FST III (Medium)
datasets\final\test\Eczema\train_chapped-fissured-feet-21.jpg,Eczema,30.018367767333984,FST III (Medium)
datasets\final\test\Eczema\train_desquamation-8.jpg,Eczema,11.62216854095459,FST V-VI (Dark)
datasets\final\test\Eczema\train_Dyshidrosis-1.jpg,Eczema,34.875328063964844,FST III (Medium)
datasets\final\test\Eczema\train_Dyshidrosis-17.jpg,Eczema,33.95906066894531,FST III (Medium)
datasets\final\test\Eczema\train_Dyshidrosis-21.jpg,Eczema,34.69515609741211,FST III (Medium)
datasets\final\test\Eczema\train_Dyshidrosis-48.jpg,Eczema,21.42045783996582,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-acute-14.jpeg,Eczema,28.535137176513672,FST III (Medium)
datasets\final\test\Eczema\train_eczema-acute-2.jpeg,Eczema,37.002525329589844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-areola-1.jpeg,Eczema,24.53772735595703,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-areola-11.jpeg,Eczema,40.49781036376953,FST III (Medium)
datasets\final\test\Eczema\train_eczema-areola-18.jpeg,Eczema,19.5731258392334,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-areola-21.jpeg,Eczema,39.41739273071289,FST III (Medium)
datasets\final\test\Eczema\train_eczema-areola-4.jpeg,Eczema,33.13561248779297,FST III (Medium)
datasets\final\test\Eczema\train_eczema-arms-4.jpeg,Eczema,37.278175354003906,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-19.jpeg,Eczema,35.34502410888672,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-3.jpeg,Eczema,35.618492126464844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-40.jpeg,Eczema,38.75474548339844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-44.jpeg,Eczema,37.0565299987793,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-48.jpeg,Eczema,39.71455383300781,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-50.jpeg,Eczema,36.518394470214844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-asteatotic-6.jpeg,Eczema,39.01504898071289,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-14.jpeg,Eczema,26.08892059326172,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-chronic-25.jpeg,Eczema,36.740562438964844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-27.jpeg,Eczema,31.38022804260254,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-29.jpeg,Eczema,32.5248908996582,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-35.jpeg,Eczema,34.738624572753906,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-37.jpeg,Eczema,25.221115112304688,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-chronic-38.jpeg,Eczema,34.2562141418457,FST III (Medium)
datasets\final\test\Eczema\train_eczema-chronic-53.jpeg,Eczema,36.68972396850586,FST III (Medium)
datasets\final\test\Eczema\train_eczema-ears-2.jpeg,Eczema,29.488908767700195,FST III (Medium)
datasets\final\test\Eczema\train_eczema-ears-3.jpeg,Eczema,31.70142936706543,FST III (Medium)
datasets\final\test\Eczema\train_eczema-face-2.jpg,Eczema,10.91588306427002,FST V-VI (Dark)
datasets\final\test\Eczema\train_eczema-face-6.jpeg,Eczema,37.002525329589844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-fingertips-123.jpeg,Eczema,33.690067291259766,FST III (Medium)
datasets\final\test\Eczema\train_eczema-fingertips-13.jpeg,Eczema,30.777528762817383,FST III (Medium)
datasets\final\test\Eczema\train_eczema-fingertips-138.jpeg,Eczema,36.66862487792969,FST III (Medium)
datasets\final\test\Eczema\train_eczema-fingertips-141.jpeg,Eczema,42.137596130371094,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-fingertips-48.jpeg,Eczema,27.957988739013672,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-fingertips-49.jpeg,Eczema,25.746597290039062,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-fingertips-61.jpeg,Eczema,17.378925323486328,FST V-VI (Dark)
datasets\final\test\Eczema\train_eczema-foot-35.jpeg,Eczema,24.281461715698242,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-foot-4.jpeg,Eczema,30.160058975219727,FST III (Medium)
datasets\final\test\Eczema\train_eczema-foot-53.jpg,Eczema,25.104568481445312,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-foot-60.jpeg,Eczema,37.138572692871094,FST III (Medium)
datasets\final\test\Eczema\train_eczema-foot-64.jpeg,Eczema,43.593017578125,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-foot-69.jpg,Eczema,34.31880187988281,FST III (Medium)
datasets\final\test\Eczema\train_eczema-foot-89.jpeg,Eczema,49.8645133972168,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-hand-113.jpeg,Eczema,35.20218276977539,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-121.jpeg,Eczema,39.24543380737305,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-142.jpeg,Eczema,29.93976593017578,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-146.jpeg,Eczema,36.706817626953125,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-158.jpeg,Eczema,34.93931198120117,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-162.jpeg,Eczema,49.62550354003906,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-hand-166.jpg,Eczema,39.109375,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-169.jpg,Eczema,38.04704284667969,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hand-188.jpeg,Eczema,44.777061462402344,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-hand-91.jpeg,Eczema,36.30449676513672,FST III (Medium)
datasets\final\test\Eczema\train_eczema-hyperkeratotic-1.jpeg,Eczema,30.770408630371094,FST III (Medium)
datasets\final\test\Eczema\train_eczema-leg-6.jpeg,Eczema,40.04972839355469,FST III (Medium)
datasets\final\test\Eczema\train_eczema-leg-9.jpeg,Eczema,31.0247745513916,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-103.jpeg,Eczema,28.84265899658203,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-107.jpg,Eczema,31.817035675048828,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-109.jpeg,Eczema,28.875444412231445,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-121.jpeg,Eczema,39.55966567993164,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-143.jpeg,Eczema,32.290611267089844,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-167.jpeg,Eczema,36.627891540527344,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-17.jpg,Eczema,39.41739273071289,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-174.jpeg,Eczema,42.58049392700195,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-nummular-182.jpeg,Eczema,37.33713150024414,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-191.jpeg,Eczema,37.815731048583984,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-201.jpeg,Eczema,32.61924362182617,FST III (Medium)
datasets\final\test\Eczema\train_eczema-nummular-89.jpeg,Eczema,17.601181030273438,FST V-VI (Dark)
datasets\final\test\Eczema\train_eczema-nummular-91.jpeg,Eczema,25.416006088256836,FST IV (Olive)
datasets\final\test\Eczema\train_eczema-subacute-10.jpeg,Eczema,37.58850860595703,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-44.jpg,Eczema,30.30658721923828,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-5.jpeg,Eczema,38.908485412597656,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-71.jpeg,Eczema,38.6171760559082,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-77.jpeg,Eczema,33.50343704223633,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-81.jpeg,Eczema,43.693809509277344,FST I-II (Light)
datasets\final\test\Eczema\train_eczema-subacute-92.jpeg,Eczema,36.869895935058594,FST III (Medium)
datasets\final\test\Eczema\train_eczema-subacute-97.jpeg,Eczema,35.83765411376953,FST III (Medium)
datasets\final\test\Eczema\train_eczema-trunk-generalized-18.jpeg,Eczema,28.442930221557617,FST III (Medium)
